source,path,suffix,category,cyrillic_share,words,bytes,factor,heuristic_tokens,sha256
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\implement\SKILL.md,.md,en,0.0,415,2854,1.3,540,542ecd1f540f9d2adee070a8d4df7a55b46bb7822d09595603634228b22e5d51
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\intake\SKILL.md,.md,en,0.0,471,3244,1.3,613,c43f72e08138a0961d99c53132d179934fa8e4f8330e85999d3015d396a74596
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\run\SKILL.md,.md,en,0.0,434,2717,1.3,565,1feb5d2f18331fd885fc00bf9d9ca7a62e3b0d4850534b8a0fd4ade1859c7c92
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\specify\SKILL.md,.md,cyrillic,0.002,561,3881,2.2,1235,bc3ca3e41824e74a7035cb9511359572ef2b24a4acc30f0be55686a3beb88c31
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\verify\SKILL.md,.md,en,0.0,468,3236,1.3,609,a0649c4ecc0114cff53a5c26fbddeab367cfd56e1913e7da10cf1c07c81325db
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\.deltafuse\config.yaml,.yaml,yaml,0.0,49,564,4.5,221,d61d80ec9cb7518ba84d0becbfc768b7ec6a0f0c078784f3b54506ddd71a70ab
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\AGENTS.md,.md,en,0.0,300,2169,1.3,390,9455850a9372dac6ef9f29bad173ad8b688aa52e0fa513c5b9e577305445e510
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\analysis.md,.md,en,0.0,52,342,1.3,68,a78c05d19043153188bc8da9c62a60bf5626c29b40881049fe2240b2e7d7ffa1
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\change.yaml,.yaml,yaml,0.0,63,559,4.5,284,15da487cffa57773aec718dc2f544a474e747a5be99adb72b9af93a48a8a2ef4
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\coverage.yaml,.yaml,yaml,0.0,22,325,4.5,99,603c71d1816dea276352e56b8b8adfb3f3debc7476571b0d9847f1b1d28649d2
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\design.md,.md,en,0.0,44,352,1.3,58,c47c0f7254284d0283376d523a59259da2bf022a3c4b0222f2cb190579813efa
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\evidence\green\evidence.yaml,.yaml,yaml,0.0,31,358,4.5,140,6b15d418c23473585ca2876ebe088d1091e08c70b99baaf5f8a027b307869b5a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\evidence\red\evidence.yaml,.yaml,yaml,0.0,30,290,4.5,135,8ee37c6535a109f9f182bcceb3bbb2e346b32707189800e8a4ddb6579f099a8f
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\request.md,.md,en,0.0,47,300,1.3,62,179ac4cc72d161e693c591051069843ff4a843b4be6482d0a85d3427243dd569
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\routing.yaml,.yaml,yaml,0.0,25,235,4.5,113,783ad23ea7fee7154ba213fbbfc60bac472cfcfa8645c24d4835bc7c67b23514
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\slices\SLICE-01.md,.md,en,0.0,92,714,1.3,120,962a6adf39653814a07e20f90e1b398f1d2e38a0a13484618456c725f1d9846a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\spec-delta.md,.md,en,0.0,40,344,1.3,52,c866fcc09c3d9bb4250a8518ab03a44be4de285be983b884d22d00027072dc71
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\tasks\TASK-001-template.md,.md,en,0.0,66,504,1.3,86,50c06dfa0ffce56ed4d2bbec8cccef79285abc0a3a42ac6670dbbae78112afb8
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\change\verification.md,.md,en,0.0,59,394,1.3,77,812e6c1ca5d5587116cae93bfd22b41ae24f65db85c843a0b17a44cc58f0fb25
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\CHANGELOG.md,.md,en,0.0,30,213,1.3,39,1e46288bafd1705c48e498ff9faa0a0f49de54f3af5d143b169be4c967b3d697
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\archive\README.md,.md,en,0.0,25,175,1.3,33,0779f02b5f3d438ce143a7afbaf216a33268a16ce285cd4656dccb2fc82e19da
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\changes\README.md,.md,en,0.0,47,323,1.3,62,fed17341ea102c124ae5f4ebc0b27e711dbfb944ff460fc6df2522d6a348c123
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\decisions\DEC-0000-template.md,.md,en,0.0,94,661,1.3,123,49f52be8678cd2cfbe4e80816197c7e733ed4726ef2b7525a912c8f5ee41e782
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\decisions\README.md,.md,en,0.0,78,601,1.3,102,e8f0c8b2d2dfcafd911744f88cee435f0919aa4566fcd6b0196beb3c4bef47d1
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\intake\README.md,.md,en,0.0,60,391,1.3,78,04d064d8f37e32f324734fa5797eaf7f9ba247c80944675cbffbd7e7769f1b74
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\spec\context.md,.md,en,0.0,60,416,1.3,78,ca3fa7231afedf8a9bdfbfe70a190ef4e9345334949e845f02c4d40223b347d6
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\templates\docs\spec\README.md,.md,cyrillic,0.0117,228,1595,2.2,502,3f6045f71895e4502d79ef5a2edd474ed457b280b565f7e85e321ee6b2be537b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\__init__.py,.py,code,0.0,26,318,2.7,71,6d03e8f350e50bd7696faf2f5e39feba5c794cd5f5e19abc0dc95cafeacec658
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\bench\__init__.py,.py,code,0.0,30,286,2.7,81,feadc314c9016f62098aa4e4cd64858ad39822bc3ec464da73da028433dced8f
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\bench\init_product.py,.py,code,0.0,525,5077,2.7,1418,431689c76bc403672f06b2deacbd8fbbeb39ccf5dbf27084eb1b6cedb7758735
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\bench\journal.py,.py,code,0.0,997,9899,2.7,2692,41241348540a7e386f063979c5ae05856a8106a11738cef8c067c44c8fea474b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\bench\loader.py,.py,code,0.0,503,4391,2.7,1359,979ac0520603359ce9b689f27047719753d3ea5249a00f239cb529a172027b55
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\bench\score.py,.py,code,0.0,3570,39242,2.7,9639,959a91766e8701b6be1f0af77726a755dc534332b02010bffbdd8ff58e93e494
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\cli.py,.py,code,0.0,5173,70318,2.7,13968,1d4256e99e8fc5e644111e3145df6dc6e0ea4fd5250355d58256f1ff7f3fa761
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\adapters.py,.py,code,0.0,1110,12061,2.7,2997,e21eace2731cb42b8c90410fd86cd686dc03030cc4df6cfe4648e4fac4a85d6b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\analyze.py,.py,code,0.0,1341,14599,2.7,3621,25ec723291b82ec9220dce9b1c4a76c441f79263512a7b0e7fa427a8689f88ef
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\archiver.py,.py,code,0.0,434,4209,2.7,1172,47928e89a73c57e08c3a3f4980e7770feadcf4eb17edbad453f9fa4b954af64c
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_codec.py,.py,code,0.0,630,7424,2.7,1701,c4d53cdacf2014d8b407a3382826b411df8cc4438dbefc9100e647aefe413184
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_lock.py,.py,code,0.0,749,9305,2.7,2023,f59fa45fd9eb933065acc8060cc9736daee426e038e07689cd2c953c210fc84a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_patch.py,.py,code,0.0,583,6009,2.7,1575,c0659eaab612f3512b39cd6a1c70d032aca92e5d7fc51776bbe5c452c293d950
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_policy.py,.py,code,0.0,1028,12472,2.7,2776,c0db0dbeb9094ef7b366fdb4f2aad899edc4a5b29c7d1942e6d86b0e3572304c
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_reader.py,.py,code,0.0,1022,11106,2.7,2760,005d1c528b4591495bb91a695b9a6a8ec2f468663cd7215667fb76e89d420962
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_registry.py,.py,code,0.0,2333,30859,2.7,6300,6aa0350638d7c6041ee9ee93cc17656f3f45f743aed88c962ca655099d583ea9
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_storage.py,.py,code,0.0,652,8302,2.7,1761,3e8372e38f52f147a6bc5b8503031a669e8a35502077d28c509ae7853bf7baaf
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifact_transactions.py,.py,code,0.0,1201,17341,2.7,3243,ecde1b25f4006681970b83665e5360e61c3e380ede725531c398e09426b3c202
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\artifacts.py,.py,code,0.0,1980,32817,2.7,5346,63441b63d4b1a448b3788fa5d2f2aebe6a6c753b4cec1d2cdd8343a20ee42c4c
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\assets.py,.py,code,0.0,445,4422,2.7,1202,067e831b4036c8c26d13d0e9715f25ce467789ce03486c12187d657f7d4f16bd
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\board.py,.py,code,0.0,1022,11106,2.7,2760,ee6e03923d7985f9380247e13a536f0ff2cdba21984c148fea8f2ce7b69fcc18
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\config.py,.py,code,0.0,413,4380,2.7,1116,2138c21d48d714b20ab7814d24a0a86ef7ffb1106cb25ec274042c03b4f710ee
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\context.py,.py,code,0.0,1954,20454,2.7,5276,c1f457b6c7ab0cf1a883a51bf4e863cdd4451c0c6d57929682fb58ed39e9df8a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\decide.py,.py,code,0.0,955,10835,2.7,2579,1e20710e985f959af24c3d75b20d43b03360ed701c8b7583b8271d9d77d7d639
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\evidence.py,.py,code,0.0,1306,13307,2.7,3527,fd8f5a2f11c4ae8ac6cf76ca9c87ee713f37669452fc7430210244f6003fdf96
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\frontmatter.py,.py,code,0.0,165,1676,2.7,446,a96646fc290150645e681d053a747c582a6aa335a600ad971d9504b8180237a8
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\fsm.py,.py,code,0.0,3673,47308,2.7,9918,acea30241a03a47dcbbb54fca8565e5d12a81f4a22d276122504c8a2d6f28226
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\gate_receipts.py,.py,code,0.0,1142,12464,2.7,3084,6e2c6f4f143a140496987ac5c8dfb7019228b1dc9ca85f557cefb734fa8e6eb5
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\graph.py,.py,code,0.0,156,1434,2.7,422,6a7d086db922cf3e98747ac48d0bad5b3a46925b5fcc8e000cd66325a496bd2d
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\hasher.py,.py,code,0.0,295,3341,2.7,797,9ef3c60da2940c9a23bf26cb87477ad95c426212551b1f4e770227bf89ccd41b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\installer.py,.py,code,0.0,1559,18785,2.7,4210,24255fa7cd94cb9e9b2fdd5e10373bacd32b2ec8429f65a228f38e98fedf0f78
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\integrity.py,.py,code,0.0,1292,13997,2.7,3489,d2b8a8889290860391f8719a46aef3e347ffe5a2db45d7bd7e0aa47e430661bc
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\layout.py,.py,code,0.0,493,5511,2.7,1332,ac9e6a762ca20c4dbd8989114b36cf3b73183223b7efa6e2e96c7efbe5f726a7
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\leash.py,.py,code,0.0,3164,30278,2.7,8543,8ffcfff8a093cd9cc45f949caf8dc6ba30eef128dd1c798494b4f47d88fa2a08
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\lifecycle.py,.py,code,0.0,68,537,2.7,184,0a28a1f1f5f218a0e3235e6ccac861d0ed022eb1c59f998009e872ea0363f4b0
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\src\deltafuse\core\lock.py,.py,code,0.0,551,5489,2.7,1488,76243e6e720c0fc00c7d3f78f685f90cdb0ea1b19718af92b836524d169f4f7e
